name,category1,
200 Food Mart,convenience,
Adams Shore Super Mkt,grocery,
Alfredo Aiello Italian Food Retail Store,grocery,
Bernies General Store,grocery,
Dave's General Store,beer & wine,
Front Side Market,grocery,
Good Fortune Supermarket,grocery,
Good Health Natural Food Store,health market,
Hannaford Supermarkets,grocery,
Kim Market,grocery,
Lucky Shamrock,ethnic food,
Lucky Supermarket,grocery,
Marina Bay Marketplace,convenience,
Mina Halal Meat & Groceries,meats,
New York Mart,grocery,
Quincy International Food Company,meats,
Roche Bros,grocery,
Roxie's Market of Quincy,butcher,
Star Market,grocery,
Stop & Shop,grocery,
Super 88 Market,convenience,
Sure Pinoy Food Mart,ethnic food,
Tedeschi Food Shops,convenience,
Thuan Dat Supermarket,grocery,
Walmart,grocery,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,beer & wine