name,category1
Al-Hoda Market,grocery
Albert's Market,beer & wine
Bread & Circus,grocery
Broadway Marketplace,beer & wine
Broadway Marketplace,fruits & veggies
Cardullo's Gourmet Shoppe,special food & gourmet
Chang Shing Tofu,health market
City Market,grocery
Commonwealth Restaurant and Market,sandwish
Evergood Super Market,grocery
First United Market,grocery
Foodland,beer & wine
Fresh Mart,convenience
Fresh Pond Market,meats
Friendly Corner Convenience Store,grocery
H Mart,grocery
Harvest Co-Op Markets,health market
Louie's Superette,grocery
Luigi's Variety,bakeries
Market In the Square,delis
Montrose Spa,grocery
Pearl Street Market,grocery
Pemberton Farms & Garden Center,grocery
Sarah's Market & Cafe,grocery
Savenor's Market,beer & wine
Star Market,grocery
The Brothers Market,grocery
Thistle & Shamrock,beer & wine
Trader Joe's,beer & wine
University Market,convenience
Vermas Market,convenience
Whole Foods Market,health market